kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_time0bk
10030778,K03265.01,FALSE POSITIVE,29.47316279,6.4327,12568.5,154.89251
7870282,K04732.01,FALSE POSITIVE,0.580725004,2.071,105.2,131.73303
11153259,K03200.01,FALSE POSITIVE,1.94468659,18.22,455.5,133.2347
9021075,K04733.01,CONFIRMED,7.28116667,2.716,333.8,132.7518
5783938,K04734.01,FALSE POSITIVE,383.10017,8.8,579.4,286.3372
11338056,K04735.01,CANDIDATE,2.87998334,1.658,116.5,131.48485
3445812,K04802.01,FALSE POSITIVE,0.605556082,1.2399,101.7,132.02856
4473613,K04803.01,CONFIRMED,4.36125889,2.174,189.2,132.53228
10676750,K04804.01,CANDIDATE,21.08678557,0.978,499.6,135.5636
8960918,K04805.01,FALSE POSITIVE,1.19087362,1.785,67.5,131.71838
4647662,K04806.01,FALSE POSITIVE,1.06484622,3.287,42.4,131.5817
9822284,K04807.01,FALSE POSITIVE,0.969824139,0.783,23.1,132.28429
8940700,K04876.01,FALSE POSITIVE,190.60563,14.33,153.6,229.5171
9581589,K04877.01,CANDIDATE,5.19206571,3.716,66.6,134.5614
11804437,K04878.01,CANDIDATE,449.01499,12.58,94.2,144.707
9850966,K04879.01,FALSE POSITIVE,8.480305,6.19,304.2,135.8796
8747009,K04880.01,FALSE POSITIVE,410.11676,13.97,216.9,328.2965
8826007,K03266.01,CONFIRMED,54.5091549,5.125,622.2,140.82739
8280511,K01151.04,CANDIDATE,17.4532945,4.027,79.3,146.66244
8620402,K03267.01,CONFIRMED,14.1959621,3.605,196.2,137.01221
8379021,K03268.01,FALSE POSITIVE,11.52482874,1.724,577.6,134.08163
8104030,K03269.01,FALSE POSITIVE,46.84008579,3.8198,6287.9,164.134422
4813793,K07708.01,CANDIDATE,6.70242786,1.221,65.3,133.17733
5282477,K04736.01,FALSE POSITIVE,0.992798625,3.5065,582.5,131.70889
7266212,K04737.01,CANDIDATE,7.79534033,3.406,102.1,138.03216
6681546,K04738.01,FALSE POSITIVE,186.72243,13.35,326.4,308.6018
