kepid,period
4150390,55.251478
4150611,1.522279
4150611,8.653092
4150611,94.1982
4157488,5.19742
4159347,12.283555
4164393,49.612756
4165960,13.549178
4168013,0.310876
4169521,1.172556
4174507,3.891825
4178389,23.210523
4241946,0.284384
4242692,2.27707
4244929,0.341403
4245897,11.257822
4247023,47.190615
4247092,21.056416
4247791,4.049739
4247791,4.100871
4247991,104.35
4248941,8.644598
4249218,0.316195
4252226,21.858958
4252322,14.591516
4253860,155.061112
4255422,165.405745
4263529,10.104016
4273411,1.219698
4275739,4.343656
4276114,3.722407
4281895,9.543588
4285087,4.486031
4346875,4.694219
4349483,0.509141
4350454,0.965658
4352168,10.643748
4357272,2.08595
4358206,0.951162
4359851,13.542328
4360072,1087.3
4365442,1.714413
4365461,3.42883
4366923,646.29
4367544,2.391222
4372379,4.535171
4372705,1.278668
4372765,15.6398
4375101,61.259602
4376644,27.677704
4377638,2.821875
4380283,1.744719
4385109,0.274648
4386047,2.90069
4445630,5.627912
4450976,12.044869
4451148,0.735984
4454219,1.225733
4455763,0.766298
4456622,1.502816
4458989,0.529854
4459068,24.955995
4464999,0.434164
4466356,14.128158
4466691,0.482651
4470124,11.438984
4473933,103.592624
4474193,0.322505
4474637,3.886725
4476900,0.279666
4480676,1.423934
4484356,1.144159
4540632,31.005399
4544587,2.189097
4545729,18.38352
4547067,0.407575
4547308,0.576928
4547480,4.426947
4550750,1.567774
4551328,1.044116
4554004,0.742507
4563150,0.27472
4569590,41.3702
4569923,0.313584
4570326,1.121552
4571536,0.676715
4574310,1.30622
4578594,252.155
4579321,2.112395
4586482,623.0
4633434,22.271209
4638237,290.14
4639868,53.100965
4647652,1.064824
4649305,22.651138
4649324,1.035691
4649440,19.370732
4651526,0.298145
4659255,198.013278
4659476,58.996374
4660997,0.56256
4661397,0.292325
4661634,73.894177
4663623,358.1
4665989,2.248067
4669402,8.496468
4669592,0.378428
4670267,2.006098
4671584,5.593325
4672934,0.382747
4677321,1.572181
4678171,15.288709
4679687,1.027903
4681152,1.835922
4729553,0.961293
4736208,63.681891
